,artist,x,k,m,N,p-val,adj_pval(BH)
1520,Bari Andrade,1835,1672335,2792,4313582,1.843179760893689e-182,5.529539282681067e-181
1610,Sonja Killian,5057,1672335,9478,4313582,4.535558576480053e-182,1.3412294647591015e-180
1638,Helene Mcdaniel,1305,1672335,1821,4313582,1.733481381556442e-178,5.053952760312444e-177
1562,Clotilde Mccann,2917,1672335,4967,4313582,6.938516768185172e-178,1.994823570853237e-176
1925,Laree Lujan,5330,1672335,10151,4313582,2.7267373511809465e-173,7.731981256088438e-172
1759,Colin Eubanks,4869,1672335,9152,4313582,2.841780368923264e-172,7.949304545501561e-171
2020,Angele Nugent,2203,1672335,3611,4313582,1.0364061643457202e-160,2.860481013594188e-159
1301,Melvina Bright,393,1672335,396,4313582,2.0870852637387383e-158,5.684561178867353e-157
296,Kraig Delaney,385,1672335,387,4313582,3.303004253678653e-157,8.879504941707549e-156
1388,Janyce Paquette,403,1672335,409,4313582,4.3885424885213124e-157,1.1646516604152713e-155
53,Kitty Whitmore,4114,1672335,7742,4313582,7.936748976219501e-145,2.0796291621233377e-143
1880,Hye Jarrett,3303,1672335,6009,4313582,1.3902273445731826e-142,3.5972132540831103e-141
917,Will Marion,2213,1672335,3739,4313582,1.2801872557866227e-140,3.2715896536769243e-139
52,Randell Obrien,754,1672335,970,4313582,7.83531415362917e-136,1.9779390607332174e-134
1881,Abel Dooley,1671,1672335,2678,4313582,5.979307196070931e-135,1.491224806730943e-133
772,Leonarda White,2358,1672335,4136,4313582,1.442174148466311e-124,3.5539291515776954e-123
1118,Susy Cuevas,1882,1672335,3172,4313582,2.555994261636459e-121,6.224597790102906e-120
250,Alfredia Graves,1053,1672335,1547,4313582,1.5141951531123283e-120,3.644632519700604e-119
1383,Ariana Hastings,424,1672335,474,4313582,7.962515864566519e-119,1.894529636741689e-117
345,Hoa Lowe,291,1672335,293,4313582,1.218241595547989e-118,2.8656364804367463e-117
1546,Larita Eckert,1015,1672335,1491,4313582,2.460383740286009e-116,5.722465553249482e-115
1358,Kendal Wolff,1544,1672335,2516,4313582,2.6681001590934774e-116,6.136630365914998e-115
791,Monserrate Priest,2266,1672335,4010,4313582,1.9535671912138223e-114,4.4438286657281456e-113
84,Porfirio Holley,694,1672335,925,4313582,7.320913456646172e-112,1.6472055277453887e-110
458,Barbie Humphreys,1536,1672335,2531,4313582,3.4410498096091934e-110,7.659110866549495e-109
1674,Pa Stark,1001,1672335,1496,4313582,1.0428260167745651e-107,2.2964360156631383e-106
140,Rosario Rowe,763,1672335,1059,4313582,2.370230045461712e-107,5.164606520111309e-106
786,Lettie Velasquez,1513,1672335,2501,4313582,4.6573205153169164e-107,1.00423473611521e-105
70,Stormy Bautista,1688,1672335,2857,4313582,6.145699580879295e-107,1.3115049621051693e-105
2131,Todd Jack,544,1672335,688,4313582,4.062158146000514e-104,8.580272818592922e-103
2030,Kenda Sample,1099,1672335,1709,4313582,2.766236973339468e-101,5.783950035164342e-100
1648,Alfonzo Guidry,836,1672335,1211,4313582,3.247481587657058e-101,6.722286886450109e-100
2204,Maren Alaniz,1062,1672335,1645,4313582,1.7334697779596067e-99,3.552754891461768e-98
842,Doreen Dotson,753,1672335,1065,4313582,2.1999299545214683e-99,4.4645637312347443e-98
2114,Marva Newton,1004,1672335,1535,4313582,4.23137345270041e-99,8.503828201058107e-98
1097,Altha Minor,1388,1672335,2294,4313582,1.7559465666042017e-98,3.49500903160644e-97
670,Della Donnelly,3672,1672335,7235,4313582,3.1888732552919315e-95,6.28663584614695e-94
1228,Ginger Kidd,2166,1672335,3944,4313582,8.056511556764144e-94,1.573299898349224e-92
441,Maira Gay,3361,1672335,6558,4313582,1.3764592330048187e-93,2.6628697311401635e-92
1513,Melissia Hewitt,1870,1672335,3318,4313582,1.5365381330420911e-93,2.9450314216640083e-92
14,Janetta Pettit,1769,1672335,3111,4313582,8.695691492668636e-93,1.6513836137453282e-91
943,Deb Rider,1003,1672335,1564,4313582,1.2058419647620991e-91,2.2691753336886773e-90
2309,Jared Kinsey,503,1672335,647,4313582,1.583755351302569e-91,2.953489709185872e-90
267,Irina Hutton,2293,1672335,4239,4313582,6.260978223822841e-91,1.157162939581543e-89
218,Tennille Fontaine,1482,1672335,2537,4313582,3.0738702242520872e-89,5.630895012567983e-88
608,Coleen Mcnamara,593,1672335,809,4313582,6.073450941260335e-89,1.1028108288077977e-87
1209,Garret Joseph,1742,1672335,3086,4313582,5.098265628564857e-88,9.176878131416744e-87
1004,Leanora Mullins,1160,1672335,1892,4313582,1.2718964097144975e-87,2.2696772138870772e-86
1193,Shelia Waters,966,1672335,1511,4313582,2.901087878296787e-87,5.132693938525084e-86
1921,Felton Whittington,1045,1672335,1669,4313582,1.5780047755188217e-86,2.7681948180711537e-85
1728,Frank Werner,1485,1672335,2564,4313582,8.800388375905294e-86,1.530823860346551e-84
1663,Adrien Morrison,204,1672335,205,4313582,4.32658391307618e-85,7.463357250056411e-84
2178,Eulah Howard,969,1672335,1528,4313582,1.0057047893324892e-84,1.720503234643184e-83
1196,Elvin Choi,2938,1672335,5719,4313582,1.889595973275948e-83,3.2061177579354204e-82
1138,Romana Barlow,200,1672335,201,4313582,1.9157245284590845e-83,3.2240242064311423e-82
328,Reynalda Holman,2849,1672335,5542,4313582,2.2869086228143e-81,3.817661975181936e-80
1109,Lan Carpenter,747,1672335,1117,4313582,7.741720966408923e-81,1.2820289920373176e-79
727,Willetta Haines,1561,1672335,2755,4313582,1.1577694117861022e-80,1.9020497479343107e-79
1298,Randee Osborn,588,1672335,828,4313582,2.4926191312353564e-79,4.062772914690699e-78
1465,Tiana Luther,1436,1672335,2503,4313582,3.112955643653824e-79,5.034232954971419e-78
1585,Fannie Pease,1910,1672335,3513,4313582,2.1184108088071538e-78,3.3993103676207813e-77
1504,Ed Irvin,1321,1672335,2274,4313582,1.0880682621721117e-77,1.7325394636125162e-76
2176,Tiffany Mcconnell,1348,1672335,2335,4313582,7.43565775021817e-77,1.1749474460268405e-75
1239,Tad Pryor,3934,1672335,8041,4313582,1.1483096551984805e-76,1.80075832292489e-75
1195,Erwin Oleary,2557,1672335,4949,4313582,8.365259565152247e-76,1.3019614511176804e-74
198,Wilfred Rector,1102,1672335,1840,4313582,3.6419761122701333e-75,5.626037725671027e-74
900,Carmon Romero,1173,1672335,1985,4313582,4.3459792403420574e-75,6.6638348351911546e-74
775,Dante Alaniz,1378,1672335,2412,4313582,1.524716577853845e-74,2.320708320704014e-73
427,Mimi Lovett,827,1672335,1297,4313582,2.8941853495843006e-74,4.372966185138323e-73
1561,Hsiu Diamond,816,1672335,1286,4313582,6.88411115840098e-72,1.032616673760147e-70
1006,Rosita Pierson,2307,1672335,4439,4313582,2.421368767017955e-71,3.605923271746163e-70
646,Torri Walker,3699,1672335,7573,4313582,3.054078821827062e-71,4.515673686558585e-70
1539,Merlyn Herrington,1030,1672335,1726,4313582,2.891591973643624e-69,4.245103110242767e-68
981,Nohemi Lozano,785,1672335,1239,4313582,7.872303673564092e-69,1.1475822960758922e-67
2152,Marcelina High,2423,1672335,4724,4313582,1.8541989114762981e-68,2.6840501725565996e-67
1645,Cherlyn Lankford,795,1672335,1266,4313582,3.366010001381683e-67,4.838639376986169e-66
584,Marylin Jernigan,538,1672335,776,4313582,5.225575350566891e-67,7.459959293567906e-66
1151,Byron Ng,473,1672335,663,4313582,2.6535106442127044e-65,3.7621692010413e-64
